Epoch,Time (s),Train Loss,Test Loss,BIC
1,116.99719214439392,243825.64291381836,1913.8773498535156,846404.0733879127
2,127.88257622718811,3824.632091522217,488.0148468017578,843552.3483818092
3,138.796471118927,1223.6665573120117,299.1625328063965,843174.6437538185
4,150.30521607398987,968.6606330871582,280.0718116760254,843136.4623115577
5,161.54793310165405,859.0641250610352,237.28582954406738,843050.8903472938
6,172.7895860671997,737.8995037078857,206.04271125793457,842988.4041107215
7,184.03723621368408,622.8269691467285,185.51582527160645,842947.3503387489
8,195.43393516540527,566.6114673614502,179.88329124450684,842936.0852706947
9,206.825364112854,529.2709064483643,170.29683113098145,842916.9123504676
10,218.26424717903137,508.1574363708496,164.43696403503418,842905.1926162757
11,229.8573350906372,491.5906925201416,157.52179145812988,842891.3622711219
12,241.37953305244446,478.13348960876465,157.7356243133545,842891.7899368324
13,253.05753207206726,469.87711906433105,149.42059707641602,842875.1598823585
14,264.57947611808777,451.6081848144531,148.29508018493652,842872.9088485755
15,276.2421431541443,457.94141006469727,141.08686637878418,842858.4924209632
16,287.7430830001831,425.80810928344727,138.87492179870605,842854.0685318031
17,299.4592661857605,404.79636001586914,125.79181575775146,842827.9023197212
18,311.27709317207336,334.50141525268555,98.58506965637207,842773.4888275184
19,323.0915150642395,245.90219068527222,62.14127254486084,842700.6012332954
20,335.03391218185425,170.14516258239746,41.00368595123291,842658.3260601081
21,347.2812662124634,115.66516423225403,28.676701068878174,842633.6720903434
22,359.5277180671692,87.09103417396545,23.251067638397217,842622.8208234825
23,371.8223090171814,72.96482825279236,18.803157091140747,842613.925002388
24,384.105877161026,58.662893414497375,15.164094805717468,842606.6468778171
25,396.37204003334045,49.430986642837524,13.940387725830078,842604.1994636573
26,408.6024730205536,45.22681903839111,15.215331673622131,842606.7493515529
27,420.9002661705017,42.38883399963379,11.345354437828064,842599.0093970813
28,433.168576002121,35.61762821674347,9.358716070652008,842595.036120347
29,445.45749616622925,33.1470593214035,12.65195906162262,842601.6226063289
30,457.8219950199127,33.057942271232605,8.531241297721863,842593.3811708011
31,470.14770317077637,26.175304770469666,7.442940413951874,842591.2045690336
32,482.5010781288147,24.27692610025406,6.427968919277191,842589.1746260442
33,494.9589910507202,21.283549785614014,5.938465595245361,842588.1956193962
34,507.3686020374298,20.478907525539398,5.67509400844574,842587.6688762226
35,519.7992391586304,20.250118613243103,7.541352868080139,842591.4013939418
36,532.1455352306366,19.45727640390396,5.467953324317932,842587.2545948543
37,544.567948102951,18.50564008951187,6.036071956157684,842588.390832118
38,557.0036890506744,16.23897522687912,4.511163920164108,842585.341016046
39,569.5046820640564,14.739319086074829,4.161792159080505,842584.6422725238
40,582.2646532058716,13.822630733251572,3.9919057190418243,842584.3024996438
41,595.4125201702118,12.688183099031448,3.7917328476905823,842583.902153901
42,608.5853061676025,13.061441212892532,4.105822652578354,842584.5303335108
43,621.730791091919,12.110141545534134,3.5210663974285126,842583.3608210005
44,634.8737571239471,12.17387181520462,4.885623335838318,842586.0899348774
45,648.1055212020874,12.269390225410461,3.252118557691574,842582.8229253211
46,661.4147510528564,10.118591994047165,3.1009838581085205,842582.5206559219
47,674.6354231834412,10.304331302642822,3.187540829181671,842582.693769864
48,687.9256610870361,9.733891814947128,2.714504212141037,842581.74769663
49,701.2691311836243,9.471103459596634,2.614598274230957,842581.5478847541
50,714.8201951980591,9.693940848112106,2.873040586709976,842582.0647693791
